sbj	block	trial	type	sacc_dir	sacc_magn	sacc_time
2	1	0	1	0	977.300000	203.000000
2	1	1	1	0	999.200000	199.000000
2	1	2	1	1	284.900000	180.000000
2	1	3	1	0	1002.300000	195.000000
2	1	4	1	0	1008.300000	189.000000
2	1	5	1	1	263.300000	196.000000
2	1	6	1	1	220.800000	265.000000
2	1	7	1	1	266.000000	216.000000
2	1	8	1	1	260.600000	199.000000
2	1	9	1	1	289.100000	257.000000
2	1	10	1	1	267.100000	191.000000
2	1	11	1	0	1041.500000	254.000000
2	1	12	1	1	288.200000	201.000000
2	1	13	1	0	1010.300000	212.000000
2	1	14	1	1	254.700000	334.000000
2	1	15	1	0	1002.300000	224.000000
2	1	16	1	0	1003.200000	235.000000
2	1	17	1	1	257.200000	185.000000
2	1	18	1	0	1001.100000	168.000000
2	1	19	1	0	1012.400000	189.000000
2	1	20	1	0	1017.000000	235.000000
2	1	21	1	0	1001.300000	196.000000
2	1	22	1	0	1020.800000	181.000000
2	1	23	1	0	1008.300000	188.000000
2	1	24	1	0	1042.900000	247.000000
2	1	25	1	1	287.000000	210.000000
2	1	26	1	1	279.100000	244.000000
2	1	27	1	0	1006.900000	205.000000
2	1	28	1	1	260.300000	204.000000
2	1	29	1	0	1014.800000	184.000000
2	1	30	1	1	266.300000	181.000000
2	1	31	1	1	256.100000	281.000000
2	1	32	1	1	253.200000	180.000000
2	1	33	1	1	258.600000	194.000000
2	1	34	1	0	1007.600000	191.000000
2	1	35	1	1	249.700000	241.000000
2	1	36	1	0	1054.200000	217.000000
2	1	37	1	0	1051.700000	276.000000
2	1	38	1	0	1026.300000	215.000000
2	1	39	1	1	246.600000	168.000000
2	1	40	1	1	293.800000	184.000000
2	1	41	1	0	1033.800000	184.000000
2	1	42	1	1	259.700000	180.000000
2	1	43	1	1	272.400000	222.000000
2	1	44	1	1	290.900000	195.000000
2	1	45	1	1	301.400000	208.000000
2	1	46	1	0	1006.400000	207.000000
2	1	47	1	1	238.800000	171.000000
2	1	48	1	0	1022.800000	230.000000
2	1	49	1	1	281.300000	185.000000
2	1	50	1	1	259.500000	175.000000
2	1	51	1	0	1040.300000	183.000000
2	1	52	1	0	1023.000000	196.000000
2	1	53	1	0	1050.900000	407.000000
2	1	54	1	0	1060.600000	214.000000
2	1	55	1	0	1043.800000	183.000000
2	1	56	1	0	1025.100000	215.000000
2	1	57	1	1	268.200000	172.000000
2	1	58	1	0	1018.400000	192.000000
2	1	59	1	0	1037.900000	205.000000
2	1	60	1	1	250.700000	163.000000
2	1	61	1	1	273.300000	214.000000
2	1	62	1	1	269.600000	171.000000
2	1	63	1	0	979.300000	180.000000
2	1	64	1	0	1018.500000	204.000000
2	1	65	1	0	1003.200000	280.000000
2	1	66	1	0	1022.400000	200.000000
2	1	67	1	1	266.200000	191.000000
2	1	68	1	1	269.600000	185.000000
2	1	69	1	1	280.100000	185.000000
2	1	70	1	0	1036.000000	177.000000
2	1	71	1	0	1030.600000	276.000000
2	1	72	1	1	255.400000	165.000000
2	1	73	1	1	216.000000	246.000000
2	1	74	1	1	246.700000	179.000000
2	1	75	1	1	263.400000	194.000000
2	1	76	1	1	281.600000	265.000000
2	1	77	1	0	1082.300000	187.000000
2	1	78	1	0	1063.200000	203.000000
2	1	79	1	1	261.400000	192.000000
2	1	80	1	0	1036.300000	179.000000
2	1	81	1	0	1040.800000	275.000000
2	1	82	1	1	314.400000	165.000000
2	1	83	1	1	242.700000	193.000000
2	1	84	1	1	288.100000	180.000000
2	1	85	1	1	289.900000	258.000000
2	1	86	1	1	299.200000	182.000000
2	1	87	1	0	976.700000	196.000000
2	1	88	1	0	1011.600000	228.000000
2	1	89	1	0	1035.600000	181.000000
2	1	90	1	1	298.600000	185.000000
2	1	91	1	0	1021.200000	189.000000
2	1	92	1	0	1037.700000	203.000000
2	1	93	1	0	1034.900000	176.000000
2	1	94	1	0	1016.600000	179.000000
2	1	95	1	1	278.400000	210.000000
2	1	96	1	0	995.700000	203.000000
2	1	97	1	1	222.100000	261.000000
2	1	98	1	0	1000.900000	220.000000
2	1	99	1	1	295.200000	176.000000
2	1	100	1	1	239.200000	189.000000
2	1	101	1	0	1002.200000	172.000000
2	1	102	1	0	1011.600000	197.000000
2	1	103	1	1	239.200000	165.000000
2	1	104	1	0	1054.400000	225.000000
2	1	105	1	1	252.500000	179.000000
2	1	106	1	0	1009.900000	195.000000
2	1	107	1	1	277.000000	181.000000
2	1	108	1	0	1010.200000	250.000000
2	1	109	1	1	303.100000	173.000000
2	1	110	1	0	991.600000	216.000000
2	1	111	1	0	1026.700000	177.000000
2	1	112	1	1	258.900000	234.000000
2	1	113	1	1	271.900000	168.000000
2	1	114	1	0	1014.300000	168.000000
2	1	115	1	0	1038.300000	184.000000
2	1	116	1	1	255.500000	181.000000
2	1	117	1	0	989.200000	166.000000
2	1	118	1	1	294.500000	189.000000
2	1	119	1	1	273.000000	234.000000
2	1	120	1	0	1010.400000	202.000000
2	1	121	1	1	269.200000	173.000000
2	1	122	1	1	247.600000	358.000000
2	1	123	1	0	1005.300000	201.000000
2	1	124	1	1	259.900000	173.000000
2	1	125	1	0	1023.400000	197.000000
2	1	126	1	1	289.600000	212.000000
2	1	127	1	1	260.000000	235.000000
2	1	128	1	1	256.600000	171.000000
2	1	129	1	0	985.900000	210.000000
2	1	130	1	0	1025.200000	205.000000
2	1	131	1	0	1005.800000	198.000000
2	1	132	1	0	1003.300000	223.000000
2	1	133	1	1	261.500000	234.000000
2	1	134	1	0	1012.700000	186.000000
2	1	135	1	0	1008.300000	200.000000
2	1	136	1	1	283.700000	181.000000
2	1	137	1	0	983.600000	219.000000
2	1	138	1	1	292.600000	198.000000
2	1	139	1	0	986.600000	176.000000
2	1	140	1	1	279.200000	233.000000
2	1	141	1	0	1053.800000	201.000000
2	1	142	1	1	281.200000	188.000000
2	1	143	1	1	257.800000	255.000000
2	1	144	1	1	263.200000	220.000000
2	1	145	1	0	978.200000	178.000000
2	1	146	1	0	976.500000	211.000000
2	1	147	1	1	294.600000	168.000000
2	1	148	1	1	275.200000	190.000000
2	1	149	1	1	313.500000	191.000000
2	2	0	0	1	1060.400000	355.000000
2	2	1	0	0	279.300000	251.000000
2	2	2	0	0	269.600000	367.000000
2	2	3	0	0	236.300000	397.000000
2	2	4	0	0	256.200000	529.000000
2	2	5	0	1	920.800000	315.000000
2	2	6	0	0	266.900000	252.000000
2	2	7	0	0	238.500000	354.000000
2	2	8	0	0	249.100000	279.000000
2	2	9	0	1	277.700000	318.000000
2	2	10	0	1	892.000000	350.000000
2	2	11	0	1	1097.500000	253.000000
2	2	12	0	1	1124.800000	275.000000
2	2	13	0	0	1066.500000	321.000000
2	2	14	0	1	664.000000	500.000000
2	2	15	0	1	1026.700000	409.000000
2	2	16	0	0	1049.500000	341.000000
2	2	17	0	0	318.700000	394.000000
2	2	18	0	1	230.300000	352.000000
2	2	20	0	0	1078.000000	269.000000
2	2	22	0	1	822.900000	399.000000
2	2	23	0	1	1033.400000	256.000000
2	2	24	0	1	915.000000	329.000000
2	2	25	0	0	405.600000	360.000000
2	2	26	0	0	294.700000	500.000000
2	2	27	0	1	1075.000000	260.000000
2	2	28	0	0	251.600000	263.000000
2	2	29	0	0	286.700000	248.000000
2	2	30	0	1	1008.100000	245.000000
2	2	31	0	1	956.200000	274.000000
2	2	32	0	1	1038.400000	241.000000
2	2	33	0	1	1091.700000	236.000000
2	2	34	0	0	994.100000	84.000000
2	2	35	0	0	202.400000	242.000000
2	2	36	0	0	292.200000	227.000000
2	2	37	0	1	1056.900000	251.000000
2	2	38	0	1	976.300000	376.000000
2	2	39	0	0	255.600000	273.000000
2	2	40	0	0	258.900000	289.000000
2	2	41	0	0	314.200000	291.000000
2	2	42	0	1	640.800000	440.000000
2	2	43	0	1	937.700000	344.000000
2	2	44	0	1	1047.400000	555.000000
2	2	45	0	1	1090.600000	254.000000
2	2	46	0	1	1096.100000	253.000000
2	2	47	0	1	896.800000	300.000000
2	2	48	0	1	977.900000	342.000000
2	2	49	0	0	1024.200000	239.000000
2	2	50	0	0	267.700000	332.000000
2	2	51	0	0	158.300000	264.000000
2	2	52	0	0	281.400000	234.000000
2	2	53	0	0	269.600000	261.000000
2	2	54	0	1	277.800000	191.000000
2	2	55	0	0	253.300000	237.000000
2	2	56	0	1	262.000000	173.000000
2	2	57	0	1	359.500000	235.000000
2	2	58	0	1	1177.800000	278.000000
2	2	59	0	1	995.900000	307.000000
2	2	60	0	1	950.600000	372.000000
2	2	61	0	0	270.100000	249.000000
2	2	62	0	0	1041.400000	308.000000
2	2	63	0	0	290.800000	297.000000
2	2	64	0	0	278.900000	492.000000
2	2	65	0	1	970.700000	388.000000
2	2	66	0	0	993.700000	219.000000
2	2	67	0	1	nan	934.000000
2	2	68	0	1	1014.000000	423.000000
2	2	69	0	0	1101.500000	253.000000
2	2	70	0	0	240.900000	220.000000
2	2	71	0	1	948.100000	334.000000
2	2	72	0	0	228.000000	274.000000
2	2	73	0	0	268.500000	304.000000
2	2	74	0	1	216.300000	196.000000
2	2	75	0	1	1036.300000	344.000000
2	2	76	0	1	990.600000	356.000000
2	2	77	0	0	1050.800000	183.000000
2	2	78	0	1	242.000000	290.000000
2	2	79	0	0	991.800000	187.000000
2	2	80	0	1	914.600000	381.000000
2	2	81	0	1	1059.400000	465.000000
2	2	82	0	1	1039.400000	267.000000
2	2	83	0	1	1064.200000	280.000000
2	2	84	0	1	1075.000000	253.000000
2	2	85	0	1	1057.700000	255.000000
2	2	86	0	0	275.400000	279.000000
2	2	87	0	1	1077.400000	253.000000
2	2	88	0	0	255.700000	260.000000
2	2	89	0	0	280.800000	273.000000
2	2	90	0	0	241.800000	262.000000
2	2	91	0	1	259.900000	158.000000
2	2	92	0	0	273.800000	209.000000
2	2	93	0	1	1071.000000	311.000000
2	2	94	0	1	1032.200000	403.000000
2	2	95	0	1	990.800000	309.000000
2	2	96	0	0	1075.400000	312.000000
2	2	97	0	0	245.100000	302.000000
2	2	98	0	1	356.400000	210.000000
2	2	99	0	0	944.800000	234.000000
2	2	100	0	1	302.600000	216.000000
2	2	101	0	1	1052.700000	259.000000
2	2	102	0	0	1063.900000	283.000000
2	2	103	0	0	1047.700000	183.000000
2	2	104	0	1	1049.400000	334.000000
2	2	105	0	0	251.600000	208.000000
2	2	106	0	0	263.100000	286.000000
2	2	107	0	1	253.500000	166.000000
2	2	108	0	1	1087.400000	233.000000
2	2	109	0	0	1017.600000	192.000000
2	2	110	0	0	228.400000	242.000000
2	2	111	0	1	329.900000	445.000000
2	2	112	0	0	990.500000	242.000000
2	2	113	0	1	986.100000	397.000000
2	2	114	0	1	1010.200000	291.000000
2	2	115	0	1	1102.100000	502.000000
2	2	116	0	0	1054.200000	179.000000
2	2	117	0	0	237.700000	251.000000
2	2	118	0	0	288.900000	303.000000
2	2	119	0	1	1009.500000	265.000000
2	2	120	0	0	312.200000	305.000000
2	2	121	0	0	181.000000	356.000000
2	2	122	0	0	258.000000	240.000000
2	2	123	0	1	1066.100000	252.000000
2	2	124	0	0	269.100000	234.000000
2	2	125	0	1	1006.800000	268.000000
2	2	126	0	0	240.800000	311.000000
2	2	127	0	1	1055.900000	521.000000
2	2	128	0	1	1076.800000	277.000000
2	2	129	0	0	1071.100000	330.000000
2	2	130	0	0	225.700000	327.000000
2	2	131	0	0	320.000000	381.000000
2	2	132	0	0	328.800000	377.000000
2	2	133	0	0	257.500000	341.000000
2	2	134	0	1	1037.000000	313.000000
2	2	135	0	1	1091.500000	335.000000
2	2	136	0	0	242.400000	273.000000
2	2	137	0	0	293.500000	332.000000
2	2	138	0	0	280.900000	294.000000
2	2	139	0	0	260.800000	292.000000
2	2	140	0	0	220.400000	284.000000
2	2	142	0	1	951.800000	278.000000
2	2	143	0	0	273.300000	327.000000
2	2	144	0	0	254.900000	266.000000
2	2	145	0	1	272.500000	185.000000
2	2	146	0	1	903.000000	341.000000
2	2	147	0	1	979.600000	326.000000
2	2	148	0	0	334.400000	281.000000
2	2	149	0	1	968.900000	299.000000
2	3	0	1	1	240.000000	354.000000
2	3	1	0	1	288.400000	311.000000
2	3	2	1	1	296.900000	331.000000
2	3	3	0	1	275.400000	268.000000
2	3	4	1	0	1005.200000	279.000000
2	3	5	1	0	1050.100000	331.000000
2	3	6	1	0	1003.800000	323.000000
2	3	7	0	1	985.700000	273.000000
2	3	8	0	1	948.000000	561.000000
2	3	9	1	0	1019.200000	208.000000
2	3	10	0	0	993.100000	256.000000
2	3	11	0	0	321.300000	418.000000
2	3	12	0	0	257.200000	250.000000
2	3	13	1	1	301.300000	300.000000
2	3	14	0	0	240.100000	292.000000
2	3	15	1	1	253.200000	261.000000
2	3	16	0	1	972.500000	268.000000
2	3	17	0	1	917.400000	313.000000
2	3	18	0	0	237.300000	277.000000
2	3	19	0	1	744.500000	396.000000
2	3	20	0	0	269.900000	318.000000
2	3	21	0	1	973.500000	258.000000
2	3	22	0	1	985.400000	230.000000
2	3	23	0	1	999.800000	296.000000
2	3	24	1	1	1028.300000	317.000000
2	3	25	1	1	291.400000	218.000000
2	3	26	1	1	256.700000	279.000000
2	3	27	0	1	985.000000	266.000000
2	3	28	0	0	1016.100000	202.000000
2	3	29	0	0	271.400000	332.000000
2	3	30	1	1	895.000000	252.000000
2	3	31	1	1	928.400000	302.000000
